License Serial Number,License Type Name,License Class Code,License Type Code,Agency Zone Office Number,Agency Zone Office Name,County Name (Licensee),Premises Name,Doing Business As (DBA),Actual Address of Premises (Address1),Additional Address Information (Address2),City,State,ZIP,License Certificate Number,License Received Date
1324275,RESTAURANT WINE,341,RW,1,New York City,NEW YORK,BAR BY UME LLC,,119E 7TH ST,,NEW YORK,NY,10009,,12/19/2019
3164506,RESTAURANT BREWER,210,MR,3,Buffalo,ERIE,FLYING BISON BREWING COMPANY LLC,FLYING BISON BREWING COMPANY,840 SENECA ST,,BUFFALO              ,NY,14210,,12/19/2019
1324276,WHOLESALE WINE,303,WW,1,New York City,NEW YORK,"SOMM EFFECT LLC, THE",,229 E 29TH ST,,NEW YORK,NY,10016,,12/19/2019
1324280,CATERING ESTABLISHMENT,246,CT,1,New York City,NEW YORK,ARAMARK SERVICES INC,,277 PARK AVE,17TH AND 18TH FL,NEW YORK,NY,10017,,12/19/2019
1324287,"GROCERY BEER, WINE PROD",122,AX,1,New York City,SUFFOLK,ALISAN GAS CORP,SHELL MART,267 E MAIN ST,,PATCHOGUE,NY,11772,,12/19/2019
1324290,EATING PLACE BEER,141,EB,1,New York City,NASSAU,EL RETUMBO REST CORP,,1099 FRONT ST,,UNIONDALE,NY,11553,,01/10/2020
2220061,DIRECT WINE SHIPMENT,308,WS,2,Albany,ALBANY,"1-800-WINESHOP.COM, INC",WINESHOP AT HOME,560 TECHNOLOGY WAY,,NAPA,CA,94558,923100,12/19/2019
1324292,LIQUOR STORE,222,L,1,New York City,BRONX,NEW DISCOUNT LIQUORS INC,,1796 WESTCHESTER AVE,,BRONX,NY,10472,,12/19/2019
1324296,ON-PREMISES LIQUOR,252,OP,1,New York City,KINGS,MACEDONIA TAVERN LLC,,9508 CHURCH AVE,,BROOKLYN,NY,11212,,12/19/2019
1324299,HOTEL LIQUOR,242,HL,1,New York City,KINGS,85 FLATBUSH RHO HOTEL LLC,THE TILLARY HOTEL,85 FLATBUSH AVE EXT,,BROOKLYN,NY,11201,,12/20/2019
1324305,"GROCERY BEER, WINE PROD",122,AX,1,New York City,BRONX,PSB DELI GROCERY CORP,,249 WILLIS AVE,AKA 386 E 139TH ST,BRONX,NY,10454,,12/20/2019
1324309,ON-PREMISES LIQUOR,252,OP,1,New York City,KINGS,732 TOWNIES INC,,732 MANHATTAN AVE,,BROOKLYN,NY,11222,,12/20/2019
1324315,ON-PREMISES LIQUOR,252,OP,1,New York City,NEW YORK,CALF & BULL INC,HOME KITCHEN,155 E 84TH ST,,NEW YORK,NY,10028,,12/20/2019
1324317,EATING PLACE BEER,141,EB,1,New York City,SUFFOLK,PATCHOGUE DELI INC,PATCHOGUE DELI ,128 E MAIN ST,,PATCHOGUE,NY,11772,,12/20/2019
1324323,ON-PREMISES LIQUOR,252,OP,1,New York City,SUFFOLK,TRIPLE B ENTERPRISES INC,ELEANOR'S LOUNGE,4103 SUNRISE HWY,,BOHEMIA,NY,11716,,12/20/2019
2220088,"GROCERY CHAIN, WINE PROD",128,AX,2,Albany,ONONDAGA,FASTRAC EG LLC,FASTRAC STORE 205,2526 RTE 11,,LAFAYETTE,NY,13084,,12/23/2019
1324336,GROCERY STORE BEER,122,A ,1,New York City,QUEENS,SAL & GINO DELI CATERING LLC,,236-05 BRADDOCK AVE ,,BELLEROSE,NY,11426,,12/23/2019
1324340,ON-PREMISES LIQUOR,252,OP,1,New York City,SUFFOLK,MELTOLOGY OF MIDDLE ISLAND LLC,MELTOLOGY,848 MIDDLE COUNTRY RD,,MIDDLE ISLAND,NY,11953,,12/23/2019
1324344,ON-PREMISES LIQUOR,252,OP,1,New York City,NEW YORK,MOKJA GO INC ,HANSHIK ,199 8TH AVE ,,NEW YORK ,NY,10011,,12/24/2019
1324345,"GROCERY BEER, WINE PROD",122,AX,1,New York City,QUEENS,B&B DELI MINI MART INC ,B&B DELI MINI MART INC ,138-02 FARMERS BLVD ,,JAMAICA ,NY,11434,,12/24/2019
1324350,RESTAURANT WINE,341,RW,1,New York City,SUFFOLK,IRON RAMEN USA INC ,IRON RAMEN ,2350 NESCONSET HWY ,STE 300,STONY BROOK ,NY,11790,,12/24/2019
1324356,"GROCERY BEER, WINE PROD",122,AX,1,New York City,KINGS,KIM'S BLUEBERRY FARM INC ,BLUEBERRY FARM ,602 NOSTRAND AVE ,,BROOKLYN ,NY,11216,,12/24/2019
1324359,"GROCERY BEER, WINE PROD",122,AX,1,New York City,WESTCHESTER,VIBRANT STAR INC ,YONKERS MINI MART & DELI ,750 YONKERS AVE ,,YONKERS ,NY,10704,,12/24/2019
1324362,"GROCERY CHAIN, WINE PROD",128,AX,1,New York City,KINGS,7 ELEVEN INC,7 ELEVEN STORE #1120H,241 ATLANTIC AVE ,,BROOKLYN,NY,11201,,12/24/2019
1324363,LIQUOR STORE,222,L,1,New York City,NEW YORK,RENAISSANCE WINES & SPIRITS INC ,ROC WINE & SPIRITS ,164 W 146TH ST ,,NEW YORK ,NY,10039,,12/24/2019
1324365,"GROCERY BEER, WINE PROD",122,AX,1,New York City,NEW YORK,51 EAST 34TH STREET DELI INC ,,51 E 34TH ST ,,NEW YORK ,NY,10016,,12/24/2019
1324366,"GROCERY BEER, WINE PROD",122,AX,1,New York City,QUEENS,FRESH DELI AND GROCERY 1 CORP ,,62-74 FRESH POND RD ,,RIDGEWOOD ,NY,11385,,12/24/2019
1324369,"GROCERY BEER, WINE PROD",122,AX,1,New York City,KINGS,SERIE 23 MINIMARKET INC ,,642 ROCKAWAY AVE ,,BROOKLYN ,NY,11212,,12/24/2019
1324372,ON-PREMISES LIQUOR,252,OP,1,New York City,NEW YORK,KDEM EATS INC ,MUGHLAI INDIAN CUISINE ,255 W 55TH ST ,,NEW YORK ,NY,10019,,12/24/2019
1324374,RESTAURANT WINE,341,RW,1,New York City,NEW YORK,ROJAVA LLC ,SAHARA'S TURKISH CUISINE ,513 SECOND AVE ,,NEW YORK ,NY,10016,,12/24/2019
1324375,GROCERY STORE BEER,122,A,1,New York City,BRONX,146 DELI CORP,,461 WILLIS AVE,,BRONX,NY,10455,,12/26/2019
1324376,LIQUOR STORE,222,L,1,New York City,BRONX,SOUTHERN BOULEVARD LIQUORS INC,,1286 SOUTHERN BLVD,,BRONX,NY,10459,,12/26/2019
1324377,RESTAURANT WINE,341,RW,1,New York City,NEW YORK,226 S L C INC,ARBOR BISTRO,226 W HOUSTON ST,,NEW YORK,NY,10014,,01/09/2020
1324380,ON-PREMISES LIQUOR,252,OP,1,New York City,KINGS,BROOKLYN WINGS & BURGERS CORP ,,988 ATLANTIC AVE ,,BROOKLYN ,NY,11238,,12/26/2019
1324381,"GROCERY BEER, WINE PROD",122,AX,1,New York City,KINGS,MAX GROCERY CORP ,,198 KNICKERBOCKER AVE ,,BROOKLYN ,NY,11237,,12/26/2019
1324384,"GROCERY BEER, WINE PROD",122,AX,1,New York City,KINGS,SERIE 23 MINIMARKET INC ,,642 ROCKAWAY AVE ,,BROOKLYN ,NY,11212,,12/26/2019
1324387,ON-PREMISES LIQUOR,252,OP,1,New York City,SUFFOLK,RIPTIDES REST INC ,,168 MONTAUK HWY ,,LINDENHURST ,NY,11757,,12/26/2019
1324396,ON-PREMISES LIQUOR,252,OP,1,New York City,NEW YORK,HARLEM WINES AND BITES CORP,HARLEM WINE ROOM,3454 BROADWAY,,NEW YORK,NY,10031,,12/26/2019
1324397,TAVERN WINE,344,TW,1,New York City,QUEENS,INDOOR EXTREME SPORTS INC,,47-11 VAN DAM ST,,LONG ISLAND CITY,NY,11101,,12/27/2019
1324398,ON-PREMISES LIQUOR,252,OP,1,New York City,NEW YORK,REINS INTERNATIONAL NEW YORK INC,GYU-KAKU,146 150 W 25TH ST,,NEW YORK,NY,10001,,12/27/2019
1324399,RESTAURANT WINE,341,RW,1,New York City,KINGS,AKARU SUSHI II INC,,201 WYCKOFF AVE,,BROOKLYN,NY,11237,,01/10/2020
1324401,LIQUOR STORE,222,L,1,New York City,QUEENS,NEW GOLDEN BELL LIQUOR INC,,32-47 FRANCIS LEWIS BLVD,,BAYSIDE,NY,11358,,12/27/2019
2220114,TAVERN WINE,344,TW,2,Albany,ULSTER,186 MAIN LLC,CONVENIENT DELI & CAFE,186 MAIN ST,,NEW PALTZ ,NY,12561,,12/27/2019
2220116,ON-PREMISES LIQUOR,252,OP,2,Albany,DUTCHESS,"ROOSEVELT BAR LLC, THE",,288 MAIN ST,,BEACON,NY,12508,,12/27/2019
3164570,RESTAURANT WINE,341,RW,3,Buffalo,NIAGARA,HH 310 RESTAURANT LLC,CANTINA FALLS ,"310 RAINBOW BLVD, SUITE 110 ",,NIAGARA FALLS,NY,14303,,12/27/2019
1324409,IMPORTER,208,IL,1,New York City,KINGS,RUFF MIX WINES INC,,119 N 11TH ST ,STE CA-3,BROOKLYN,NY,11249,,12/27/2019
1324415,"GROCERY BEER, WINE PROD",122,AX,1,New York City,SUFFOLK,700 SUFFOLK PRODUCE MARKET CORP,FINE FARE ,700 SUFFOLK AVE ,,BRENTWOOD,NY,11717,,12/27/2019
2220121,ON-PREMISES LIQUOR,252,OP,2,Albany,PUTNAM,1308 ROUTE 9 RESTAURANT CORP,EL COYOTE,1308 RT 9,,GARRISON,NY,10524,,12/27/2019
3164577,LIQUOR STORE,222,L,3,Buffalo,MONROE,SINGH LIQUOR MART INC,ELMGROVE DISCOUNT WINE & SPIRITS,738 ELMGROVE RD ,T/GATES,ROCHESTER            ,NY,14606,,12/27/2019
1324433,ON-PREMISES LIQUOR,252,OP,1,New York City,NASSAU,MCR 4060 LLC,BARNUM BALLROOM,4060 AUSTIN BLVD,2ND FL,ISLAND PARK,NY,11558,,12/30/2019
1324435,GROCERY STORE BEER,122,A,1,New York City,NEW YORK,NAM DELI FOOD & JUICE CORP,,308 E 116TH ST,,NEW YORK,NY,10029,,12/30/2019
1324439,"GROCERY BEER, WINE PROD",122,AX,1,New York City,QUEENS,SAN JUDE DELI AND GROCERY CORP,,3784 103RD ST,,CORONA,NY,11368,,12/30/2019
2220125,"GROCERY BEER, WINE PROD",122,AX,2,Albany,DUTCHESS,H&O DELI CORP ,,84 ACADEMY ST ,,POUGHKEEPSIE ,NY,12601,,12/30/2019
2220127,GROCERY STORE BEER,122,A,2,Albany,SULLIVAN,LA SALUMINA LLC ,,210 MAIN ST ,,HURLEYVILLE ,NY,12747,,12/30/2019
2220128,ON-PREMISES LIQUOR,252,OP,2,Albany,ROCKLAND,VLN FOOD INC ,LITTLE VIETNAM BAR AND GRILL ,327 N HIGHLAND AVE ,,NYACK ,NY,10960,,12/30/2019
1324442,ON-PREMISES LIQUOR,252,OP,1,New York City,NEW YORK,TBD HOSPITALITY LLC,,429 AMSTERDAM AVE,,NEW YORK,NY,10024,,12/30/2019
2220131,GROCERY STORE BEER,122,A,2,Albany,BROOME,EMPIRE PLAZA GCS INC,EMPIRE PLAZA GCS,3 SOVA RD ,,HARPURSVILLE ,NY,13787,,12/30/2019
1324445,ON-PREMISES LIQUOR,252,OP,1,New York City,QUEENS,CARVING BOARD LLC,CALLIE'S,410 BEACH 129TH ST,,ROCKAWAY PARK,NY,11694,,12/30/2019
1324446,ON-PREMISES LIQUOR,252,OP,1,New York City,NEW YORK,MAGROPROM 1 INC,BOON,402 W 44TH ST,,NEW YORK,NY,10036,,12/30/2019
3164581,TAVERN WINE,344,TW,3,Buffalo,ERIE,WOOD YOU BELIEVE IN US LLC,BOARD AND BRUSH,3669 DELAWARE AVE ,,KENMORE ,NY,14217,,12/30/2019
2220134,ON-PREMISES LIQUOR,252,OP,2,Albany,COLUMBIA,"FARMERS WIFE FOODS LLC, THE",THE FARMERS WIFE,3 COUNTY RTE 8,,ACRAMDALE,NY,12503,,12/30/2019
2220142,"GROCERY BEER, WINE PROD",122,AX,2,Albany,ALBANY,JANNATUL MAWA INC,QUAIL STREET DELI,167 QUAIL ST,,ALBANY               ,NY,12203,,12/31/2019
2220145,CATERING ESTABLISHMENT,246,CT,2,Albany,DUTCHESS,REVEL 32 LLC,,32 CANNON ST,,POUGHKEEPSIE ,NY,12601,,12/31/2019
2220149,TEMPORARY WINERY/FARM WINERY,306,FP,2,Albany,COLUMBIA,HOME RANGE WINERY LLC,,146 FLINTS CROSSING RD,,CANAAN ,NY,12029,564710,12/31/2019
1324451,ON-PREMISES LIQUOR,252,OP,1,New York City,NEW YORK,TZELLA LLC ,ELENI'S ,226 3RD AVE ,,NEW YORK ,NY,10003,,12/31/2019
1324455,ON-PREMISES LIQUOR,252,OP,1,New York City,NASSAU,LEO'S 2 LLC ,LEO'S TAVERN ,190 SEVENTH ST ,,GARDEN CITY ,NY,11530,,12/31/2019
1324463,ON-PREMISES LIQUOR,252,OP,1,New York City,SUFFOLK,TEXAS ROADHOUSE HOLDINGS LLC,TEXAS ROADHOUSE,289 MIDDLE COUNTRY RD,,SELDEN,NY,11784,,12/31/2019
1324464,ON-PREMISES LIQUOR,252,OP,1,New York City,NEW YORK,LA GRANDE BOUCHERIE LLC ,LA GRANDE BOUCHERIE/OMAKASE ROOM ,1325AVE OF THE AMERICAS ,AKA 145 W 53RD ST ,NEW YORK ,NY,10019,,12/31/2019
1324465,ON-PREMISES LIQUOR,252,OP,1,New York City,NEW YORK,CRISPIN'S LLC,CRISPINS,764 TENTH AVE,AKA 462 WEST 52ND ST,NEW YORK,NY,10019,,12/31/2019
1324468,LIQUOR STORE,222,L,1,New York City,KINGS,BROOKLYN FINE & RARE WINES & SPIRITS INC,,1122 BEDFORD AVE,,BROOKLYN,NY,11216,,12/31/2019
2220152,ON-PREMISES LIQUOR,252,OP,2,Albany,ULSTER,FLOYD FRANKIE MICHAEL LLC,HOT ROCKS STEAKHOUSE,3 SIMMONS PLAZA,,SAUGERTIES,NY,12477,,12/31/2019
3164586,"GROCERY BEER, WINE PROD",122,AX,3,Buffalo,NIAGARA,MOHAMMED T SAEED,SUPER MARIO MKT,2304 PINE AVE,,NIAGARA FALLS        ,NY,14301,,12/31/2019
1324469,IMPORTER,208,IL,1,New York City,NASSAU,HONKAKU IMPORTS LLC,,200 OLD COUNTRY RD,STE 274-A ,MINEOLA,NY,11501,,12/31/2019
1324470,"GROCERY BEER, WINE PROD",122,AX,1,New York City,NEW YORK,51 EAST 34TH STREET DELI INC ,,51 E 34TH ST ,,NEW YORK ,NY,10016,,12/31/2019
2220155,"FARM DISTILLER ""D""",207,DD,2,Albany,FULTON,HIGHER GROUND DISTILLING COMPANY LLC,HIGHER GROUND DISTILLING COMPANY,2513 STATE HWY 30,,MAYFIELD,NY,12117,,12/31/2019
1324472,RESTAURANT WINE,341,RW,1,New York City,WESTCHESTER,MAMARONECK COFFEE ROASTER INC ,THE ROASTER CAFE ,419 MAMARONECK AVE ,,MAMARONECK ,NY,10543,,12/31/2019
3164588,"FARM DISTILLER ""D""",207,DD,3,Buffalo,CHAUTAUQUA,VA IMPORTS COMPANY LLC,,6017 SHERMAN RD,BUILDING 3,WESTFIELD ,NY,14787,,12/31/2019
2220159,LIQUOR STORE,222,L,2,Albany,DUTCHESS,APPLE VALLEY WINES AND SPIRITS LLC,APPLE VALLEY WINES AND SPIRITS ,702 FREEDOM PLAINS RD,,POUGHKEEPSIE,NY,12603,,12/31/2019
1324480,"GROCERY BEER, WINE PROD",122,AX,1,New York City,SUFFOLK,COMMACK DELI & GOURMET CATERERS INC ,DICK'S DELICATESSEN ,24 VANDERBILT PKWY ,,COMMACK ,NY,11725,,12/31/2019
3164589,WHOLESALE WINE,303,WW,3,Buffalo,MONROE,COUNCIL ROCK VINES LLC,,1050 PITTSFORD VICTOR RD,,PITTSFORD ,NY,14534,,12/31/2019
3164590,IMPORTER,208,IL,3,Buffalo,MONROE,COUNCIL ROCK VINES LLC,,1050 PITTSFORD VICTOR RD,,PITTSFORD ,NY,14534,,12/31/2019
1324484,LIQUOR STORE,222,L,1,New York City,NASSAU,PRIDE LIQUOR CORP,,979 OLD COUNTRY RD,,WESTBURY,NY,11590,,12/31/2019
1324487,"GROCERY BEER, WINE PROD",122,AX,1,New York City,KINGS,CORNER AVE S CONVENIENCE INC,,1101 AVENUE S,,BROOKLYN,NY,11223,,12/31/2019
1324492,RESTAURANT WINE,341,RW,1,New York City,NEW YORK,CHINA BULL LLC ,FAT CHOY ,250 BROME ST ,,NEW YORK ,NY,10002,,01/02/2020
1324493,"GROCERY BEER, WINE PROD",122,AX,1,New York City,QUEENS,LUCKY 101 CONVENIENCE INC,,111-01 101 AVE,,SOUTH RICHMOND HILL,NY,11419,,01/02/2020
1324496,TAVERN WINE,344,TW,1,New York City,QUEENS,ABC BILLIARD & CAFE CORP ,,45-86 163RD ST ,BASEMENT ,FLUSHING ,NY,11358,,01/02/2020
1324497,ON-PREMISES LIQUOR,252,OP,1,New York City,BRONX,1877 WEBSTER AVE INC,,1877 WEBSTER AVE,,BRONX,NY,10457,,01/02/2020
1324498,O.P. ENTERTAINMENT,251,EL,1,New York City,NEW YORK,"WING UWS LLC, THE",,380 COLUMBUS AVE,,NEW YORK,NY,10024,,01/02/2020
1324501,RESTAURANT WINE,341,RW,1,New York City,NEW YORK,HEART CONNECTION USA INC,RAMEN DANBO,48 CARMINE ST,,NEW YORK,NY,10014,,01/02/2020
1324514,ON-PREMISES LIQUOR,252,OP,1,New York City,BRONX,MOLLYS NIGHTCLUB INC,,3217 COLLEGE POINT BLVD,,FLUSHING ,NY,11354,,01/02/2020
2220169,TEMPORARY WINERY/FARM WINERY,306,FP,2,Albany,ULSTER,MURRAY HOLLOW LLC ,,40 MOUNTAIN RD ,,MARLBORO ,NY,12542,564782,01/02/2020
1324517,ON-PREMISES LIQUOR,252,OP,1,New York City,QUEENS,YINGYONG NYC FOOD CORP,PLAYGROUND,71-30 ROOSEVELT AVE,,JACKSON HEIGHTS ,NY,11372,,01/02/2020
1324524,ON-PREMISES LIQUOR,252,OP,1,New York City,WESTCHESTER,NHST LLC ,TRAVELERS REST ,25 RTE 100,,OSSINING ,NY,10562,,01/03/2020
2220172,"GROCERY BEER, WINE PROD",122,AX,2,Albany,DUTCHESS,SALT POINT FOOD INC ,,59 COTTAGE ST ,,SALT POINT ,NY,12578,,01/03/2020
1324527,RESTAURANT WINE,341,RW,1,New York City,QUEENS,JOO TOM WOO FLUSHING LLC,KYURAMEN,133-42 37TH AVE ,,FLUSHING,NY,11354,,01/03/2020
1324530,RESTAURANT WINE,341,RW,1,New York City,NEW YORK,TOKYO RAMEN LLC,KITAKATA RAMEN BAN NAI,267 AMSTERDAM AVE ,STORE 1,NEW YORK,NY,10023,,01/03/2020
1324531,GROCERY STORE BEER,122,A,1,New York City,KINGS,W & Q GROCERY INC,,4717 8TH AVE ,,BROOKLYN,NY,11220,,01/03/2020
1324533,"GROCERY BEER, WINE PROD",122,AX,1,New York City,KINGS,SEELEY GOURMET DELI INC,,251 SEELEY ST,,BROOKLYN,NY,11208,,01/03/2020
1324535,RESTAURANT WINE,341,RW,1,New York City,QUEENS,SUSHI YOU GARDEN INC,SUSHI YOU JAPANESE RESTAURANT,215-05 73RD AVE,,BAYSIDE,NY,11364,,01/03/2020
2220175,LIQUOR STORE,222,L,2,Albany,ULSTER,NEW VALLEY ENTERPRISE INC,,3601 RTE 52,UNIT 2,WALKER VALLEY,NY,12588,,01/03/2020
1324538,RESTAURANT WINE,341,RW,1,New York City,SUFFOLK,ERICKS SOUND BEACH LLC,THE PIZZA PLACE,125 W MONTAUK HWY,,HAMPTON BAYS,NY,11946,,01/03/2020
1324540,RESTAURANT WINE,341,RW,1,New York City,KINGS,MI PEQUENO INC,,221 IRVING AVE ,,BROOKLYN,NY,11237,,01/03/2020
1324541,CATERING ESTABLISHMENT,246,CT,1,New York City,NEW YORK,10 SOUTH STREET LLC,,10 SOUTH ST,,NEW YORK,NY,10004,,01/03/2020
2220182,"GROCERY BEER, WINE PROD",122,AX,2,Albany,ONONDAGA,AL BADANI CORPORATION,,412 UNION PL,,SYRACUSE,NY,13208,,01/03/2020
1324552,RESTAURANT WINE,341,RW,1,New York City,KINGS,KOMOREBI FH COMPANY CORP,KOMOREBI FULL HOUSE,6201 11TH AVE,,BROOKLYN,NY,11219,,01/03/2020
1324554,RESTAURANT WINE,341,RW,1,New York City,NEW YORK,KENT'S DUMPLING HOUSE INC,,220 E 14TH ST,,NEW YORK,NY,10003,,01/03/2020
1324555,"DRUG CHAIN, WINE PROD ",126,DX,1,New York City,QUEENS,WALGREEN EASTERN CO INC,WALGREENS STORE 17771,40-16 NATIONAL ST,,CORONA,NY,11368,,01/03/2020
1324557,"GROCERY BEER, WINE PROD",122,AX,1,New York City,SUFFOLK,ESPINAL TWO MEAT & PRODUCE CORP,CHERRY VALLEY MARKETPLACE,54 E SUFFOLK AVE,,CENTRAL ISLIP,NY,11722,,01/03/2020
1324559,TAVERN WINE,344,TW,1,New York City,QUEENS,SONBOBS LLC,,34-15 28TH AVE ,,ASTORIA,NY,11103,,01/03/2020
1324562,"GROCERY BEER, WINE PROD",122,AX,1,New York City,NASSAU,KAILASH ENTERPRISE INC,,161A LEVITTOWN PKWY,,HICKSVILLE,NY,11801,,01/03/2020
1324564,VESSEL LIQUOR,240,VL,1,New York City,SUFFOLK,GREEN HILL GROUP MANAGEMENT CO LLC,THE NORTH STAR,1410 MANHANSET AVE,STIRLING HARBOR MARINA O DOCK,GREENPORT,NY,11944,,01/03/2020
1324565,ON-PREMISES LIQUOR,252,OP,1,New York City,NASSAU,SPOONSTICKS LLC,,4348 MERRICK RD,,MASSAPEQUA,NY,11758,,01/03/2020
1324568,WHOLESALE WINE,303,WW,1,New York City,SUFFOLK,FAROPIAN SPIRIT LTD,,98A KEAN ST,,WEST BABYLON,NY,11704,,01/03/2020
2220199,RESTAURANT WINE,341,RW,2,Albany,SULLIVAN,D NELLY LATIN RESTAURANT CORP ,,500 BROADWAY ,,MONTICELLO ,NY,12701,,01/03/2020
1324569,WHOLESALE WINE,303,WW,1,New York City,KINGS,LITTLE PEACOCK NY LLC,,93 SARATOGA AVE ,,BROOKLYN,NY,11233,,01/06/2020
2220202,ON-PREMISES LIQUOR,252,OP,2,Albany,WARREN,BISCOTTI BROTHER INC,BISCOTTI CAFE,1 CANADA ST ,,LAKE GEORGE ,NY,12845,,01/06/2020
2220203,ON-PREMISES LIQUOR,252,OP,2,Albany,ORANGE,DUSTIN & RYAN HOLDINGS INC,HIGHBALL TAVERN,42 INGRASSIA RD,T/O WALLKILL,MIDDLETOWN,NY,10940,,01/06/2020
2220205,"GROCERY CHAIN, BEER ONLY",128,A,2,Albany,SULLIVAN,DOLGEN NEW YORK LLC,DOLLAR GENERAL STORE #20156,882 BLOOMINGBURG RD,,BLOOMINGBURG,NY,12721,916220,01/06/2020
2220206,DIRECT WINE SHIPMENT,308,WS,2,Albany,ALBANY,ADASTRA WINES INC ,ADASTRA WINES ,21684 8TH ST E ,STE 470,SONOMA,CA,95467,923135,01/06/2020
2220207,TAVERN WINE,344,TW,2,Albany,SULLIVAN,WLMC BAKECO LLC,THE JEFFERSONVILLLE BAKING COMPANY,4906 STATE RTE 52,,JEFFERSONVILLE,NY,12748,,01/06/2020
1324570,RESTAURANT WINE,341,RW,1,New York City,NEW YORK,VEG CAFE INC,ANANDA,210 THOMPSON ST,,NEW YORK,NY,10012,,01/06/2020
2220209,LIQUOR STORE,222,L,2,Albany,FRANKLIN,TL WINE & SPIRITS LLC,RAY'S DISCOUNT LIQUORS,8 DEMARS BLVD,,TUPPER LAKE,NY,12986,,01/06/2020
1324573,"GROCERY BEER, WINE PROD",122,AX,1,New York City,BRONX,HALAL 1 GOURTMET DELI CORP,,2444 E TREMONT AVE,,BRONX,NY,10461,,01/06/2020
1324575,"GROCERY CHAIN, WINE PROD",128,AX,1,New York City,WESTCHESTER,WALGREEN EASTERN CO INC,WALGREENS #18072,5559 MONGER AVE,,MOUNT KISCO,NY,10549,,01/06/2020
1324578,ON-PREMISES LIQUOR,252,OP,1,New York City,NEW YORK,NUTOPIAN EMBASSY LLC,ONE WHITE STREET,1 WHITE ST,,NEW YORK,NY,10013,,01/06/2020
3164604,"GROCERY CHAIN, BEER ONLY",128,A,3,Buffalo,CHEMUNG,DOLGEN NEW YORK LLC,DOLLAR GENERAL STORE #9657,1371 COLLEGE AVE ,STE A,ELMIRA,NY,14901,916221,01/06/2020
2220229,"GROCERY CHAIN, BEER ONLY",128,A,2,Albany,JEFFERSON,DOLGEN NEW YORK LLC,DOLLAR GENERAL STORE #19585,2137 S JAMES ST ,,CAPE VINCENT,NY,13618,916222,01/06/2020
2220230,"GROCERY CHAIN, BEER ONLY",128,A,2,Albany,JEFFERSON,DOLGEN NEW YORK LLC,DOLLAR GENERAL STORE #6375,10757 US RTE 11,,ADAMS,NY,13605,,01/06/2020
3164605,"GROCERY BEER, WINE PROD",122,AX,3,Buffalo,MONROE,BEST FOOD MARKET INC,,517 LYELL AVE,,ROCHESTER            ,NY,14606,,01/06/2020
3164607,ON-PREMISES LIQUOR,252,OP,3,Buffalo,MONROE,AXES & ALES LLC,,349 EAST AVE,,ROCHESTER            ,NY,14604,,01/06/2020
2220231,DIRECT WINE SHIPMENT,308,WS,2,Albany,ALBANY,COPPER CANE LLC ,COPPER CANE ,1960 ST HELENA HWY ,,RUTHERFORD ,CA,94573,923125,01/06/2020
2220232,DIRECT WINE SHIPMENT,308,WS,2,Albany,ALBANY,FAT BOYS INC ,FIREHOUSE WINE CELLARS ,616 MAIN ST ,,RAPID CITY,SD,57701,923128,01/06/2020
1324585,LIQUOR STORE,222,L,1,New York City,NEW YORK,WINE STORY LIQUORS INC,,1585 1ST AVE,STORE #1,NEW YORK,NY,10028,,01/06/2020
1324591,ON-PREMISES LIQUOR,252,OP,1,New York City,NEW YORK,DYNASTY AND FLAME INC,FLAME,381 3RD AVE,,NEW YORK,NY,10016,,01/06/2020
2220233,MICRO BREWER,101,MI,2,Albany,ESSEX,LEDGE HILL FARM BREWERY LLC,LEDGE HILL BREWING COMPANY,6700 MAIN ST,,WESTPORT,NY,12993,,01/06/2020
2220234,COMBINED CRAFT MANUFACTURER,110,CM,2,Albany,ESSEX,LEDGE HILL FARM BREWERY LLC,LEDGE HILL BREWING COMPANY,6700 MAIN ST,,WESTPORT,NY,12993,,01/06/2020
1324596,RESTAURANT BREWER,210,MR,1,New York City,KINGS,25 KENT RG LLC,RANDOLPH BEER,25 KENT AVE ,AKA 19 33 KENT AVE ,BROOKLYN,NY,11249,,01/06/2020
1324599,"GROCERY BEER, WINE PROD",122,AX,1,New York City,QUEENS,YUEWU INC,BELL GROCERY & DELI,35-12 BELL BLVD,,BAYSIDE,NY,11361,,01/06/2020
1324602,ON-PREMISES LIQUOR,252,OP,1,New York City,NASSAU,LA CANTINA BAR CORP,,892 OLD COUNTRY RD,,WESTBURY,NY,11590,,01/06/2020
1324604,RESTAURANT WINE,341,RW,1,New York City,KINGS,OSAKA COURT STREET INC,OSAKA,270 COURT ST,,BROOKLYN,NY,11231,,01/06/2020
1324605,ON-PREMISES LIQUOR,252,OP,1,New York City,NASSAU,FUJI SEOUL INC,,151 MERRICK AVE ,,MERRICK,NY,11566,,01/07/2020
1324607,ON-PREMISES LIQUOR,252,OP,1,New York City,WESTCHESTER,ABC KALBI HOUSE INC,KALBI HOUSE,291 CENTRAL AVE,,WHITE PLAINS,NY,10606,,01/07/2020
3164609,FARM WINERY,302,FW,3,Buffalo,YATES,J.A. ALVAREZ LLC ,USONIA WINE ,3901 STATE RTE 14 ,,HIMROD ,NY,14842,,01/07/2020
3164610,TEMPORARY WINERY/FARM WINERY,306,FP,3,Buffalo,YATES,J.A. ALVAREZ LLC ,,3901 STATE RTE 14 ,,HIMROD ,NY,14842,562643,01/07/2020
